# Velocity(km/s)  CCF
  2.0420e+02  -3.4756e-02
  2.0541e+02  -3.1906e-02
  2.0661e+02  -3.0267e-02
  2.0781e+02  -2.9035e-02
  2.0901e+02  -2.7446e-02
  2.1021e+02  -2.4977e-02
  2.1141e+02  -2.1435e-02
  2.1261e+02  -1.6929e-02
  2.1381e+02  -1.1752e-02
  2.1502e+02  -6.2466e-03
  2.1622e+02  -7.0916e-04
  2.1742e+02   4.6375e-03
  2.1862e+02   9.6258e-03
  2.1982e+02   1.4110e-02
  2.2102e+02   1.7956e-02
  2.2222e+02   2.1062e-02
  2.2342e+02   2.3407e-02
  2.2462e+02   2.5085e-02
  2.2583e+02   2.6306e-02
  2.2703e+02   2.7349e-02
  2.2823e+02   2.8475e-02
  2.2943e+02   2.9835e-02
  2.3063e+02   3.1407e-02
  2.3183e+02   3.2978e-02
  2.3303e+02   3.4207e-02
  2.3423e+02   3.4724e-02
  2.3544e+02   3.4250e-02
  2.3664e+02   3.2687e-02
  2.3784e+02   3.0142e-02
  2.3904e+02   2.6900e-02
  2.4024e+02   2.3328e-02
  2.4144e+02   1.9777e-02
  2.4264e+02   1.6485e-02
  2.4384e+02   1.3523e-02
  2.4505e+02   1.0788e-02
  2.4625e+02   8.0546e-03
  2.4745e+02   5.0759e-03
  2.4865e+02   1.7070e-03
  2.4985e+02  -1.9817e-03
  2.5105e+02  -5.6489e-03
  2.5225e+02  -8.7174e-03
  2.5345e+02  -1.0500e-02
  2.5465e+02  -1.0387e-02
  2.5586e+02  -8.0227e-03
  2.5706e+02  -3.4226e-03
  2.5826e+02   3.0192e-03
  2.5946e+02   1.0623e-02
  2.6066e+02   1.8579e-02
  2.6186e+02   2.6114e-02
  2.6306e+02   3.2612e-02
  2.6426e+02   3.7684e-02
  2.6547e+02   4.1158e-02
  2.6667e+02   4.3045e-02
  2.6787e+02   4.3478e-02
  2.6907e+02   4.2667e-02
  2.7027e+02   4.0872e-02
  2.7147e+02   3.8417e-02
  2.7267e+02   3.5698e-02
  2.7387e+02   3.3181e-02
  2.7508e+02   3.1359e-02
  2.7628e+02   3.0659e-02
  2.7748e+02   3.1320e-02
  2.7868e+02   3.3295e-02
  2.7988e+02   3.6228e-02
  2.8108e+02   3.9526e-02
  2.8228e+02   4.2521e-02
  2.8348e+02   4.4657e-02
  2.8468e+02   4.5620e-02
  2.8589e+02   4.5373e-02
  2.8709e+02   4.4069e-02
  2.8829e+02   4.1900e-02
  2.8949e+02   3.8954e-02
  2.9069e+02   3.5165e-02
  2.9189e+02   3.0363e-02
  2.9309e+02   2.4406e-02
  2.9429e+02   1.7323e-02
  2.9550e+02   9.3828e-03
  2.9670e+02   1.0568e-03
  2.9790e+02  -7.1106e-03
  2.9910e+02  -1.4668e-02
  3.0030e+02  -2.1372e-02
  3.0150e+02  -2.7201e-02
  3.0270e+02  -3.2262e-02
  3.0390e+02  -3.6634e-02
  3.0511e+02  -4.0240e-02
  3.0631e+02  -4.2790e-02
